code,severity,root,level,detail,observed,expected
BARE_ARRAY,info,community-uploads/ryan/3d_predictions_scroll1.zarr,,"bare zarr v2 array shape=[7888, 8096, 14376] chunks=[256, 256, 256] dtype=|u1",,
BARE_ARRAY,info,community-uploads/ryan/3d_predictions_scroll2.zarr,,"bare zarr v2 array shape=[10112, 11984, 14428] chunks=[256, 256, 256] dtype=|u1",,
BARE_ARRAY,info,community-uploads/ryan/3d_predictions_scroll3_invariant.zarr,,"bare zarr v2 array shape=[3550, 3400, 9778] chunks=[256, 256, 256] dtype=|u1",,
BARE_ARRAY,info,community-uploads/ryan/3d_predictions_scroll4.zarr,,"bare zarr v2 array shape=[3340, 3440, 11174] chunks=[256, 256, 256] dtype=|u1",,
BARE_ARRAY,info,community-uploads/youssef/1321.zarr,,"bare zarr v2 array shape=[65, 800, 2180] chunks=[9, 200, 545] dtype=|u1",,
BARE_ARRAY,info,community-uploads/youssef/zarr_segments/1321.zarr,,"bare zarr v2 array shape=[65, 2180, 800] chunks=[9, 545, 200] dtype=|u1",,
BARE_ARRAY,info,community-uploads/youssef/zarr_segments/20231210121321.zarr,,"bare zarr v2 array shape=[65, 2180, 800] chunks=[9, 545, 200] dtype=|u1",,
BARE_ARRAY,info,datasets/grand-prize-banner-region/volumes/gp_volume.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,other/dev/meshes/20231022170900.zarr,,"bare zarr v2 array shape=[2103, 2592, 4195] chunks=[256, 256, 256] dtype=|u1",,
BARE_ARRAY,info,other/dev/meshes/boundaries.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,other/dev/meshes/gp_legendary-medial-cubes.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,other/dev/meshes/gp_legendary-medial-cubes-softmax.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=<f4",,
CHUNK_EXCEEDS_SHAPE,info,community-uploads/youssef/1321omerot.zarr,4,chunk exceeds level extent on every axis (~29x),"chunks=[9, 545, 200] shape=[5, 137, 50]",
CHUNK_EXCEEDS_SHAPE,info,community-uploads/youssef/1321omerot.zarr,5,chunk exceeds level extent on every axis (~190x),"chunks=[9, 545, 200] shape=[3, 69, 25]",
CHUNK_EXCEEDS_SHAPE,info,community-uploads/bruniss/test_vols/s5_test.zarr,4,chunk exceeds level extent on every axis (~30x),"chunks=[128, 128, 128] shape=[32, 47, 47]",
CHUNK_EXCEEDS_SHAPE,info,community-uploads/bruniss/test_vols/s5_test.zarr,5,chunk exceeds level extent on every axis (~228x),"chunks=[128, 128, 128] shape=[16, 24, 24]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230530164535.zarr,5,chunk exceeds level extent on every axis (~43x),"chunks=[4, 512, 512] shape=[3, 115, 70]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230520175435.zarr,5,chunk exceeds level extent on every axis (~15x),"chunks=[4, 512, 512] shape=[3, 92, 248]",
